"key","file","line","xName","attribute","value","reviewFlag","siblingNames","helpText","ownToolTip"
"Account_AccountTab_Header","src/TrueforceForAll.Plugin/SettingsControl.xaml","5590","AccountTab","Header","Account","","EffectsTab TelemetryFfbTab LightsyncTab PresetsTab ControlsTab SettingsTab SupportTab","",""
"Account_AccountStatus","src/TrueforceForAll.Plugin/SettingsControl.xaml","5603","AccountStatusLabel","Text","Not signed in. Sign in to use community features.","code-assigned: AccountStatusLabel.Text","AccountAuthBtn","",""
"Account_AccountAuth","src/TrueforceForAll.Plugin/SettingsControl.xaml","5604","AccountAuthBtn","Content","Sign in","code-assigned: AccountAuthBtn.Content","AccountStatusLabel","","Sign in with email (one-time code, no password) to use community features."
"Account_AccountAuth_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5607","AccountAuthBtn","ToolTip","Sign in with email (one-time code, no password) to use community features.","","AccountStatusLabel","",""
"Account_SupporterBadge","src/TrueforceForAll.Plugin/SettingsControl.xaml","5616","SupporterBadgeText","Text","Supporter","code-assigned: SupporterBadgeText.Text","","",""
"Account_Username","src/TrueforceForAll.Plugin/SettingsControl.xaml","5621","AccountTab/ScrollViewer[1]/StackPanel[1]/StackPanel[2]/TextBlock[1]","Text","Username:","","AccountUsernameDisplay AccountChangeUsernameBtn AccountAuthorStatus AccountAuthorBox","Sign in to claim a username.",""
"Account_AccountUsernameDisplay","src/TrueforceForAll.Plugin/SettingsControl.xaml","5623","AccountUsernameDisplay","Text","(anonymous)","code-assigned: AccountUsernameDisplay.Text","AccountChangeUsernameBtn AccountAuthorStatus AccountAuthorBox","Sign in to claim a username.",""
"Account_AccountChangeUsername","src/TrueforceForAll.Plugin/SettingsControl.xaml","5624","AccountChangeUsernameBtn","Content","Change…","","AccountUsernameDisplay AccountAuthorStatus AccountAuthorBox","Sign in to claim a username.","Pick a new username. Checked against the community for uniqueness."
"Account_AccountChangeUsername_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5627","AccountChangeUsernameBtn","ToolTip","Pick a new username. Checked against the community for uniqueness.","","AccountUsernameDisplay AccountAuthorStatus AccountAuthorBox","Sign in to claim a username.",""
"Account_AccountUsername","src/TrueforceForAll.Plugin/SettingsControl.xaml","5634","AccountUsernameHelp","Text","Sign in to claim a username.","","SupporterBadge AccountChangeEmailRow AccountChangeEmailStatus DiscordLinkRow PatreonLinkRow AccountDetailsExpander","",""
"Account_AccountChangeEmailRowEmail","src/TrueforceForAll.Plugin/SettingsControl.xaml","5637","AccountChangeEmailRow/TextBlock[1]","Text","Email:","","AccountEmailValue AccountChangeEmailBtn","",""
"Account_AccountChangeEmail","src/TrueforceForAll.Plugin/SettingsControl.xaml","5639","AccountChangeEmailBtn","Content","Change…","","AccountEmailValue","","Send a confirmation link to a new address. The current address keeps working until you confirm the new one."
"Account_AccountChangeEmail_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5642","AccountChangeEmailBtn","ToolTip","Send a confirmation link to a new address. The current address keeps working until you confirm the new one.","","AccountEmailValue","",""
"Account_Connections","src/TrueforceForAll.Plugin/SettingsControl.xaml","5653","AccountTab/ScrollViewer[1]/StackPanel[1]/Border[2]/TextBlock[1]","Text","Connections","","","",""
"Account_LinkDiscord","src/TrueforceForAll.Plugin/SettingsControl.xaml","5656","LinkDiscordBtn","Content","Join Discord","code-assigned: LinkDiscordBtn.Content","UnlinkDiscordBtn DiscordLinkStatusText","","Opens Discord in your browser to link your account and add you to the Trueforce For All community server, where your contributions earn roles."
"Account_LinkDiscord_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5659","LinkDiscordBtn","ToolTip","Opens Discord in your browser to link your account and add you to the Trueforce For All community server, where your contributions earn roles.","code-assigned: LinkDiscordBtn.ToolTip","UnlinkDiscordBtn DiscordLinkStatusText","",""
"Account_UnlinkDiscord","src/TrueforceForAll.Plugin/SettingsControl.xaml","5660","UnlinkDiscordBtn","Content","Unlink","","LinkDiscordBtn DiscordLinkStatusText","","Remove the link between your TF4ALL account and your Discord account."
"Account_UnlinkDiscord_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5663","UnlinkDiscordBtn","ToolTip","Remove the link between your TF4ALL account and your Discord account.","","LinkDiscordBtn DiscordLinkStatusText","",""
"Account_DiscordLinkStatus","src/TrueforceForAll.Plugin/SettingsControl.xaml","5666","DiscordLinkStatusText","Text","Sign in to join Discord.","code-assigned: DiscordLinkStatusText.Text","LinkDiscordBtn UnlinkDiscordBtn","",""
"Account_LinkPatreon","src/TrueforceForAll.Plugin/SettingsControl.xaml","5672","LinkPatreonBtn","Content","Link Patreon","code-assigned: LinkPatreonBtn.Content","UnlinkPatreonBtn PatreonLinkStatusText","","Unlock the supporter badge and cloud backup from your Patreon pledge. If your Patreon has Discord connected and you're already in the community server, it links Discord too."
"Account_LinkPatreon_Tip","src/TrueforceForAll.Plugin/SettingsControl.xaml","5675","LinkPatreonBtn","ToolTip","Unlock the supporter badge and cloud backup from your Patreon pledge. If your Patreon has Discord connected and you're already in the community server, it links Discord too.","","UnlinkPatreonBtn PatreonLinkStatusText","",""
"Account_UnlinkPatreon","src/TrueforceForAll.Plugin/SettingsControl.xaml","5676","UnlinkPatreonBtn","Content","Unlink","","LinkPatreonBtn PatreonLinkStatusText","","Remove the link between your TF4ALL account and your Patreon account."
